https://w3id.org/okn/o/sd#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sd#hasLongName,https://w3id.org/okn/o/sd#hasShortName,https://w3id.org/okn/o/sd#hasStandardVariable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sdm#influences,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#hasCanonicalName,https://w3id.org/okn/o/sd#hasDefaultValue
cycles_potential_tr,POTENTIAL TR,Potential transpiration of the crop.,mm day-1,,POTENTIAL TR,crop__potential_transpiration_volume_flux,,,,,,
cycles_pp,PP,Precipitation,mm,precipitation,PP,atmosphere_water__time_integral_of_precipitation_leq_volume_flux,http://www.w3.org/2002/07/owl#Thing,cycles_infiltration,,,atmosphere_water__precipitation_volume_flux,
cycles_precipitation,PRECIPITATION,Precipitation,mm,,PRECIPITATION,atmosphere_water__time_integral_of_precipitation_leq_volume_flux,,,,,,
cycles_produced_root,PRODUCED ROOT,The total quantity of roots and rhizodeposits produced over the duration of the simulation.,Mg ha-1,,PRODUCED ROOT,roots-and-rhizodeposits__time_integral_of_mass-per-area_production_rate,,,,,,
cycles_prof_c_diff,PROF C DIFF,The change in C content of the stabilized soil C pool from the beginning to end of the simulation.,Mg,,PROF C DIFF,soil_carbon_pool~stabilized_carbon__change_of_mass,,,,,,
cycles_prof_soil_nh4,PROF SOIL NH4,Soil profile ammonium-N content.,kg ha-1,,PROF SOIL NH4,soil_profile_ammonium-as-nitrogen__mass-per-area_density,,,,,,
cycles_prof_soil_no3,PROF SOIL NO3,Soil profile nitrate-N content.,kg ha-1,,PROF SOIL NO3,soil_profile_nitrate-as-nitrogen__mass-per-area_density,,,,,,
cycles_radiation_use_efficiency,RADIATION_USE_EFFICIENCY,The radiation use efficiency of the crop in g/MJ. Units in MJ of solar radiation (not PAR).,g/Mj,,RADIATION_USE_EFFICIENCY,,,,,,,
cycles_reference_et,REFERENCE ET,Reference evapotranspiration calculated using the Penman-Monteith equation.,mm day-1,,REFERENCE ET,crop_water__penman-monteith_reference_evapotranspiration_volume_flux,,,,,,
cycles_res_biomass_in,RES BIOMASS IN,Aboveground crop residue biomass added to the residue pool during the year.,Mg ha-1,,RES BIOMASS IN,ground~above_soil_residue_pool_crop_residue__mass-per-area_addition_density,,,,,,
cycles_res_c_decomp,RES C DECOMP,Quantity of C from the aboveground crop residue pool decomposed during the year. (Layer 1 includes decomposed surface residues; standing and flattened),Mg ha-1,,RES C DECOMP,ground~above_crop_residue_pool_carbon__yearly_time_integral_of_decomposition_mass_flux,,,,,,
cycles_res_c_input,RES C INPUT,The total quantity of aboveground crop residues decomposed over the duration of the simulation.,Mg,,RES C INPUT,ground~above_crop_residue-as-carbon__decomposition_mass,,,,,,
cycles_res_evap,RES EVAP,Evaporation from the surface residue.,mm day-1,,RES EVAP,soil_plant_residue_water__evaporation_volume_flux,,,,,,
cycles_residue_evap,RESIDUE EVAP,Evaporation from soil residues,mm day-1,water evaporation from residues on soil,RESIDUE EVAP,soil_plant_residue_water__evaporation_volume_flux,,,,,,
cycles_residue_removed,RESIDUE_REMOVED,"For crops harvested as grain, the percent of non-grain crop biomass that is removed with the harvested grain. For crops harvested as forages or grazed through the clipping controls, the percent of harvestable aboveground plant biomass that is removed by the harvest. For clipping events, this value also controls the fraction of root biomass that is killed at each clipping event and the extent to which the thermal time of crop development is set back at each clipping event.",%,,RESIDUE_REMOVED,,,,,,,
cycles_resp_res_c,RESP RES C,The total quantity of C respired during decomposition of the residue pools over the duration of the simulation.,Mg ha-1,,RESP RES C,crop_residue_pool_carbon__time_integral_of_decomposition_respiration_mass_flux,,,,,,
cycles_resp_soil_c,RESP SOIL C,The total quantity of C respired during decomposition of the microbial biomass and stabilized soil C pools over the duration of the simulation.,Mg,,RESP SOIL C,crop_biomass~microbial-and-soil_carbon__decomposition_respiration_mass,,,,,,
cycles_respired_c,RESPIRED C,Quantity of C respired from the decomposition of microbial biomass and stabilized soil C.,Mg/year,,RESPIRED C,biomass~microbial-and-soil~stabilized_carbon__decomposition_mass_respiration_rate,,,,,,
cycles_retained_res,RETAINED RES,The total quantity of aboveground crop residues retained in the field over the duration of the simulation.,Mg ha-1,,RETAINED RES,ground~above_crop_residue~retained__mass-per-area_density,,,,,,
cycles_root_biomass,ROOT BIOMASS,Root biomass at time of grain or forage harvests or death,Mg ha-1,root biomass,ROOT BIOMASS,plant_root_at-grain-or-forage-harvest-or-death__mass-per-area_density,,,,,,
cycles_root_biomass_in,ROOT BIOMASS IN,Crop root and rhizodeposit biomass added to the residue pools during the year.,Mg ha-1,,ROOT BIOMASS IN,crop_residue_pool_root-and-rhizodeposit_biomass__yearly_time_integral_of_addition_mass_flux,,,,,,
cycles_root_c_decomp,ROOT C DECOMP,Quantity of C from the crop root and rhizodeposit residue pools decomposed during the year.,Mg ha-1,,ROOT C DECOMP,crop_residue_pool_root-and-rhizodeposit_carbon__yearly_time_integral_of_decomposition_mass_flux,,,,,,
cycles_root_c_input,ROOT C INPUT,The total quantity of roots and rhizodeposits decomposed over the duration of the simulation.,Mg,,ROOT C INPUT,ground~above_crop_roots-and-rhizodeposits-as-carbon__decomposition_mass,,,,,,
cycles_root_n,ROOT N,Root biomass N accumulated by the crop at harvest.,Mg ha-1,,ROOT N,crop_root_nitrogen_at-harvest__mass-per-area_accumulation_density,,,,,,
cycles_rot_year,ROT_YEAR,The year in the rotation in which the tillage operation is to be performed.,,,ROT_YEAR,land__rotation_tillage_year,,,,,,
cycles_runoff,RUNOFF,Water runoff from the soil surface.,mm day-1,,RUNOFF,soil_surface_water__runoff_volume_flux,,,,,,
cycles_rv,RV,Rock volume expressed as volume over total volume,m3 m-3,rock volume,RV,soil_rock__volume_fraction,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_silt,SILT,Silt mass per unit of soil mass (no rocks) and expressed as a percentage,%,silt percentage,SILT,soil~no-rock_silt__mass_fraction,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_slope,SLOPE,Average slope of field of interest,m m-1,slope of the field,SLOPE,land_surface__slope,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_smc,SMC,Soil moisture content of each layer indexed from top to bottom,m3 m-3,soil moisture content,SMC,soil_water__volume_fraction,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,soil_water__volume_fraction,
cycles_smc_l1,SMC_L1,Soil moisture content in layer 1,m3 m-3,,SMC_L1,soil_layer~1_water__volume_fraction,,,,,,
cycles_snow_sub,SNOW SUB,Sublimation from snow cover.,mm day-1,,SNOW SUB,land_surface_snow__sublimation_volume_flux,,,,,,
cycles_soil_c,SOIL ORG C,The C content of stabilized soil organic matter in each soil layer.,%,,SOIL ORG C,soil_layer_matter~organic~stabilized_carbon__mass_fraction,,,,,,
cycles_soil_c_chg/yr,SOIL C CHG/YR,The difference in the stabilized soil C pool size from the beginning to the end of the simulation divided by the number of years of the simulation.,kg,,SOIL C CHG/YR,soil_pool~stabilized_carbon__change_of_mass,,,,,,
cycles_soil_evap,SOIL EVAP,Evaporation from the soil surface.,mm day-1,,SOIL EVAP,;,http://www.w3.org/2002/07/owl#Thing,cycles_swc,,,,
cycles_soil_evapr,SOIL EVAP,Water evaporation from the soil.,mm,,SOIL EVAP,soil_surface_water__time_integral_of_evaporation_volume_flux,http://www.w3.org/2002/07/owl#Thing,cycles_swc,,,,
cycles_som,SOM,Soil organic matter per unit of non-rock soil expressed as percentage over total mass,kg kg-1 x-100,soil organic matter,SOM,soil_matter~organic__mass_fraction,http://www.w3.org/2002/07/owl#Thing,cycles_mineralization;cycles_swc;cycles_net_mineraliz,,,,
cycles_sr,Solar,Shortwave incoming radiation on a horizontal surface at elevation of the location,MJ m-2 day-1,solar radiation of the day,Solar,land_surface~horizontal_radiation~incoming~shortwave__energy_flux,http://www.w3.org/2002/07/owl#Thing,cycles_soil_evapr;cycles_cropGrowth;cycles_transpiration;cycles_soil_evap,,,,
cycles_stage,STAGE,The phenological stage.,,,STAGE,crop__phenological_stage,,,,,,
cycles_standing_residue_at_harvest,STANDING_RESIDUE_AT_HARVEST,"The percent of aboveground crop residues remaining in the field that are left in the standing position (i.e., in minimal contact with the soil surface and therefore decomposing at a slower rate). The reminder of the reside will lay flat on the ground.",%,,STANDING_RESIDUE_AT_HARVEST,,,,,,,
cycles_start_year,SIMULATION_START_YEAR,The year to start the simulation. All simulations start on January 1 of the given year. There must be records in the weather file starting from January 1 of this year,year,simulation start year,SIMULATION_START_YEAR,model__simulation_start_time,http://www.geoscienceontology.org/geo-upper#Variable;https://w3id.org/okn/o/sd#Variable,,,,,
cycles_swc,SWC,Soil moisture content (array of size = number of soil layers),m3 m-3,soil water content by layer,SWC,soil_water__volume_fraction,http://www.w3.org/2002/07/owl#Thing,cycles_transpiration;cycles_percolation,,,,
cycles_thermal_time,THERMAL TIME,The cumulative thermal time since the crop was planted.,degC/day,,THERMAL TIME,crop_from-planting__cumulative_thermal_time,,,,,,
cycles_thermal_time_to_emergence,THERMAL_TIME_TO_EMERGENCE,"The thermal time accumulates between when a crop is planted and when it emerges from the soil and begins intercepting radiation, transpiring, accruing biomass, etc.",,,THERMAL_TIME_TO_EMERGENCE,,,,,,,
cycles_thickness,THICKNESS,The thickness of each soil layer.,m,,THICKNESS,soil_layer__thickness,,,,,,
cycles_threshold_temperature_for_cold_damage,THRESHOLD_TEMPERATURE_FOR_COLD_DAMAGE,"The threshold temperature (degree C) used in the calculation of the cold damage factor. If the daily minimum temperature falls below this threshold value, a cold damage factor is calculated as:

1 – (daily minimum temperature – MIN_TEMPERATURE_FOR_COLD_DAMAGE) / (THRESHOLD_TEMPERATURE_FOR_COLD_DAMAGE - MIN_TEMPERATURE_FOR_COLD_DAMAGE)

The cold damage factor reduces the aboveground crop biomass (moving it to the surface residue pools), reduces radiation interception by the canopy, and delays phenology development. Aboveground biomass and radiation interception is reduced by a factor calculated as 1 – cold damage factor^3. As an example, a daily minimum temperature below the MIN_TEMPERATURE_FOR_COLD_DAMAGE will cause the existing aboveground biomass and radiation interception to be multiplied by 0.03 (1-0.993), with the 97% of existing biomass that was killed added to the residue pools. So for a crop with an aboveground biomass of 1000 kg/ha, a day in the simulation with a minimum temperature below the MIN_TEMPERATURE_FOR_COLD_DAMAGE will reduce the aboveground biomass to 30 kg/ha and add 970 kg/ha of biomass to the residue pools.",degC,,THRESHOLD_TEMPERATURE_FOR_COLD_DAMAGE,,,,,,,
cycles_threshold_temperature_for_transpiration,THRESHOLD_TEMPERATURE_FOR_TRANSPIRATION,"The threshold temperature (daily average, degree C) below which potential transpiration is multiplied by a linear temperature reduction factor, where the reduction factor is calculated as: (daily average temperature – MIN_TEMPERATURE_FOR_TRANSPIRATION)/ (THRESHOLD_TEMPERATURE_FOR_TRANSPIRATION – MIN_TEMPERATURE_FOR_TRANSPIRATION).",degC,,THRESHOLD_TEMPERATURE_FOR_TRANSPIRATION,,,,,,,
cycles_tn,Tn,Minimum air temperature recorded or model-generated for that day at 1.5 m above the surface,degC,temperature minimum of the day,Tn,air__daily_min_of_temperature,http://www.w3.org/2002/07/owl#Thing,cycles_soil_evapr;cycles_cropGrowth;cycles_transpiration;cycles_soil_evap,,,,
cycles_total_biomass,TOTAL BIOMASS,Total plant mass at time of grain or forage harvest or death,Mg ha-1,total plant biomass,TOTAL BIOMASS,plant_at-grain-or-forage-harvest-or-death__mass-per-area_density,,,,,,
cycles_total_n,TOTAL N,Total biomass N (roots + aboveground) content accumulated by the crop at harvest.,Mg ha-1,,TOTAL N,biomass_nitrogen_at-harvest__mass-per-area_accumulation_density,,,,,,
cycles_transpiration,TRANSPIRATION,Transpiration by the crop canopy.,mm day-1,,TRANSPIRATION,crop_canopy_water__transpiration_volume_flux,http://www.w3.org/2002/07/owl#Thing,cycles_cropGrowth,,,,
cycles_transpiration_max,TRANSPIRATION_MAX,The maximum crop transpiration rate in mm/day.,mm day-1,,TRANSPIRATION_MAX,,,,,,,
cycles_transpiration_use_efficiency,TRANSPIRATION_USE_EFFICIENCY,The transpiration use efficiency of the crop in g/kg of water when the VPD = 1 kPa.,g kg-1,,TRANSPIRATION_USE_EFFICIENCY,,,,,,,
cycles_tx,Tx,Maximum air temperature recorded or model-generated for that day at 1.5 m above the surface,degC,temperature air maximum of the day,Tx,air__daily_max_of_temperature,http://www.w3.org/2002/07/owl#Thing,cycles_soil_evapr;cycles_cropGrowth;cycles_transpiration;cycles_soil_evap,,,,
cycles_water_stress,WATER STRESS,Daily water stress value of the crop.,%,,WATER STRESS,crop_water__daily_stress_fraction,,,,,,
cycles_ws,Wind,Wind speed at 1.5 m above the surface,m s-1,wind speed,Wind,land_surface_wind__speed,http://www.w3.org/2002/07/owl#Thing,cycles_soil_evapr;cycles_transpiration;cycles_soil_evap,,,,
cycles_year,YEAR,Year of the simulation.,YYYY,,YEAR,,,,,,,
dsi_Rainf_f_tavg,Total precipitation rate,Total precipitation rate,kg m-2 s-1,Total precipitation rate,Rainf_f_tavg,atmosphere_water__precipitation_mass_flux,,,,,,
dsi_Tair_f_inst,Air temperature,Air temperature,K,Air temperature,Tair_f_inst,land_surface_air__temperature,,,,,,
dsi_spi,SPI,Standard precipitation index,,Standard precipitation index,SPI,atmosphere_water__precipitation_standardized_index,,,,,,
econ_Nfert,Nfert,nitrogen fertilizer applications (simulated),kg ha-1,nitrogen fertilizer applications,Nfert,land_fertilizer~nitrogen__simulated_applied_mass-per-area_density,,,,,,
econ_c1,c1,costs of production per unit land area,USD ha-1,land cost,c1,land_crop__production_cost-per-area,http://www.w3.org/2002/07/owl#Thing,econ_land_area;econ_obsyield,,,,
econ_c2,c2,costs of fertilizer use per unit applied,USD kg-1,nitrogen fertilizer cost,c2,fertilizer~nitrogen__usage-cost-per-applied-mass,http://www.w3.org/2002/07/owl#Thing,econ_land_area;econ_obsyield,,,fertilizer~nitrogen__usage-cost-per-applied-mass,
econ_cc1,cc1,myopic elasticity calibration criteria,,myopic elasticity calibration criteria,cc1,,,,,,,
econ_cc2,cc2,no dominant response criteria,,no dominant response criteria,cc2,,,,,,,
econ_change_crop_land,change crop land (%),Change in land area planted for each crop,%,Change in land area planted for each crop,change crop land (%),,,,,,,
econ_change_fert_rate,change fert rate (%),"Change in level of fertilizer applications
By crop",%,"Change in level of fertilizer applications
By crop",change fert rate (%),,,,,,,
econ_change_net_revenue,change net revenue (%),Change in level of net revenue by region,%,Change in level of net revenue by region,change net revenue (%),,,,,,,
econ_change_production,change production (%),Change level of production by crop,%,Change level of production by crop,,,,,,,,
econ_crop,crop,Crop,,Crop,crop,,,,,,,
econ_cycles_elasticity,calib,"Elasticity of yield with respect to nitrogen applications at observed level
of fertilizer application rates",,"Elasticity of yield with respect to nitrogen applications at observed level
of fertilizer application rates",calib,,,,,,,
econ_eta,eta,percent change in crop supply divided by percent change in crop price,%,supply elasticities,eta,crop__supply_elasticity,http://www.w3.org/2002/07/owl#Thing,econ_land_area;econ_obsyield,,,,
econ_fert_subsidy,fert_subsidy,percent reduction in nitrogen fertilizer cost per unit applied,%,nitrogen fertilizer subsidy,fert_subsidy,fertilizer~nitrogen__application_reduced_cost_fraction,,,,,,
econ_fvar,calib,Variable costs of fertilizer applications,USD kg-1,Variable costs of fertilizer applications,calib,fertilizer__usage-cost-per-applied-mass,,,,,fertilizer__usage-cost-per-applied-mass,
econ_land_area,land_area,land area by crop (simulated),ha,land allocation,land_area,land_crop__simulated_allocated_area,http://www.w3.org/2002/07/owl#Thing,econ_obsyield;econ_production,,,land_crop__allocated_area,
econ_land_area_obs,land_area,Observed land area planted by crop,ha,Observed land area planted by crop,land_area,land_crop__observed_allocated_area,,,,,land_crop__allocated_area,
econ_lvar,calib,Variable costs of production per unit land area,USD ha-1,Variable costs of production per unit land area,calib,land_crop__production_cost-per-area,,,,,,
econ_model_error_crop_production,model error crop production,model error in crop production,,model error in crop production,model error crop production,,,,,,,
econ_model_error_fertilizer_use,model error fertilizer use,model error in fertilizer use,,model error in fertilizer use,model error fertilizer use,,,,,,,
econ_model_error_land_area,model error land area,model error in land area,,model error in land area,model error land area,,,,,,,
econ_nuse,Nuse,total fertilizer use,kg,total fertilizer use,Nuse,,,,,,,
econ_obs_Nfert,Observed N use,observed N use,kg,observed N use,observed N use,,,,,,,
econ_obs_crop_price,crop_price,Observed crop prices,USD kg-1,Observed crop prices,crop_price,farmer_crop__received_price-per-mass,,,,,crop__price-per-mass,
econ_obs_crop_yield,crop_yield,Observed yield by crop,kg ha-1,Observed yield by crop,crop_yield,land_crop__observed_mass-per-area_yield,,,,,land_crop__mass-per-area_yield,
econ_obs_eta,calib,percent change in crop supply divided by percent change in crop price,,supply elasticities,calib,crop__supply_elasticity,,,,,,
econ_obs_fert,calib,Observed fertilizer application rates,kg ha-1,Observed fertilizer application rates,calib,,,,,,,
econ_obs_land_area,Observed land area,observed land area,ha,observed land area,observed land area,,,,,,,
econ_obs_production,Observed production,observed production,kg,observed production,observed production,,,,,,,
econ_observed_nuse,,,,,,,,,,,,
econ_obsyield,obsyield,crop yields per unit land area (simulated),kg ha-1,crop yields,obsyield,land_crop__simulated_mass-per-area_yield,http://www.w3.org/2002/07/owl#Thing,econ_land_area;econ_production,,,land_crop__mass-per-area_yield,
econ_p,p,crop prices received by farmer in USD,USD kg-1,crop prices,p,farmer_crop__received_price-per-mass,http://www.w3.org/2002/07/owl#Thing,econ_land_area;econ_obsyield,,,crop__price-per-mass,
econ_production,production,total production by crop (simulated),kg,crop production,production,crop__simulated_produced_mass,http://www.w3.org/2002/07/owl#Thing,,,,crop__production,
econ_region,region,Region where the model is executed,,Region,region,,,,,,,
econ_region_econ_crop,,,,,,,,,,,,
econ_sim_Nfert,Simulated N use,simulated N use,kg,simulated N use,simulated N use,,,,,,,
econ_sim_ag_land,sim ag land (k ha),Simulated total agricultural land by region,1000ha,Simulated total agricultural land by region,sim ag land (k ha),land_crop__simulated_allocated_area,,,,,,
econ_sim_change_ag_land,change ag land (%),Change in total agricultural land by region,%,Change in total agricultural land by region,change ag land (%),,,,,,,
econ_sim_crop_land,sim crop land (k ha),Simulated land area planted for each crop,1000ha,Simulated land area planted for each crop,sim crop land (k ha),land_crop__simulated_allocated_area,,,,,,
econ_sim_fert_rate,sim fert rate (kg/ha),Simulated level of fertilizer applications by crop,kg ha-1,Simulated level of fertilizer applications by crop,sim fert rate (kg/ha),,,,,,,
econ_sim_land_area,Simulated land area,simulated land area,ha,simulated land area,simulated land area,,,,,,,
econ_sim_net_revenue,sim net revenue (m USD),Simulated level of net revenue by region,1000000$,Simulated level of net revenue by region,sim net revenue (m USD),,,,,,,
econ_sim_nuse,,,,,,,,,,,,
econ_sim_production,Simulated production,simulated production,kg,simulated production,simulated production,,,,,,,
econ_sim_production_m,sim production (m kg),Simulated level of production by crop,1000000kg,Simulated level of production by crop,sim production (m kg),,,,,,,
econ_xbar1,xbar1,land area by crop (observed),ha,land allocation,xbar1,land_crop__observed_allocated_area,http://www.w3.org/2002/07/owl#Thing,econ_land_area;econ_obsyield,,,,
econ_xbar2,xbar2,nitrogen fertilizer applications by crop (observed),kg,nitrogen fertilizer use,xbar2,crop_fertilizer~nitrogen__observed_applied_mass,http://www.w3.org/2002/07/owl#Thing,econ_ybarN;econ_land_area,,,,
econ_ybar,ybar,crop yields per unit land area (observed),kg ha-1,crop yields,ybar,land_crop__observed_mass-per-area_yield,http://www.w3.org/2002/07/owl#Thing,econ_land_area;econ_obsyield,,,crop__mass-per-area_yield,
econ_ybarN,ybarN,percent change in crop yield divided by percent change in nitrogen fertilizer use (from agriculture model such as Cycles),,yield elasticity,ybarN,crop_fertilizer~nitrogen__yield_elasticity,http://www.w3.org/2002/07/owl#Thing,econ_land_area,,,crop_fertilizer~nitrogen__yield_elasticity,
econ_year,year,Year,year,Year,year,,,,,,,
flda,,,,,,,,,,,,
fldas_Evap_tavg,Evap_tavg,,kg m-2 s-1,total_evapotranspiration,Evap_tavg,land_surface_water__evapotranspiration_mass_flux,,,,,,
fldas_LWdown_f_tavg,LWdown_f_tavg,,W m-2,surface_downwelling_longwave_flux_in_air,LWdown_f_tavg,land_surface_air_radiation~longwave~downwelling__energy_flux,,,,,,
fldas_Lwnet_tavg,Lwnet_tavg,,W m-2,surface_net_downward_longwave_flux,Lwnet_tavg,land_surface_air_radiation~longwave~downward__energy_flux,,,,,,
fldas_Psurf_f_tavg,Psurf_f_tavg,,Pa,surface_air_pressure,Psurf_f_tavg,land_surface_air__pressure,,,,,,
fldas_Qair_f_tavg,Qair_f_tavg,,kg kg-1,specific_humidity,0.10.2-alpha,atmosphere_air_water~vapor__specific_saturation,,,,,,
fldas_Qg_tavg,Qg_tavg,,W m-2,downward_heat_flux_in_soil,Qg_tavg,soil__downward_heat_energy_flux,,,,,,
fldas_Qh_tavg,Qh_tavg,,W m-2,surface_upward_sensible_heat_flux,Qh_tavg,land_surface__upward_sensible_heat_energy_flux,,,,,,
fldas_Qle_tavg,Qle_tavg,,W m-2,surface_upward_latent_heat_flux,Qle_tavg,land_surface__upward_latent_heat_energy_flux,,,,,,
fldas_Qs_tavg,Qs_tavg,,kg m-2 s-1,surface_runoff_amount,Qs_tavg,land_surface_water__runoff_mass_flux,,,,,,
fldas_Qsb_tavg,Qsb_tavg,,kg m-2 s-1,subsurface_runoff_amount,Qsb_tavg,land_subsurface_water__runoff_mass_flux,,,,,,
fldas_RadT_tavg,RadT_tavg,,K,surface_radiative_temperature,RadT_tavg,land_surface__effective_radiative_temperature,,,,,,
fldas_Rainf_f_tavg,Rainf_f_tavg,,kg m-2 s-1,rainfall_flux,Rainf_f_tavg,atmosphere_water__rainfall_mass_flux,,,,,,
fldas_SM01_Percentile,SM01_Percentile,,%,soil moisture percentiles,SM01_Percentile,soil_water__volume_fraction,,,,,,
fldas_SWdown_f_tavg,SWdown_f_tavg,,W m-2,surface_downwelling_shortwave_flux_in_air,SWdown_f_tavg,land_surface_air_radiation~shortwave~downwelling__energy_flux,,,,,,
fldas_SoilMoi00_10cm_ta,SoilMoi00_10cm_ta,,m0,soil_moisture_content,SoilMoi00_10cm_ta,land_surface~0-to-10cm-below_soil_water__volume_fraction,,,,,,
fldas_SoilMoi100_200cm_,SoilMoi100_200cm_,,m0,soil_moisture_content,SoilMoi100_200cm_,land_surface~100-to-200cm-below_soil_water__volume_fraction,,,,,,
fldas_SoilMoi10_40cm_ta,SoilMoi10_40cm_ta,,m0,soil_moisture_content,SoilMoi10_40cm_ta,land_surface~10-to-40cm-below_soil_water__volume_fraction,,,,,,
fldas_SoilMoi40_100cm_t,SoilMoi40_100cm_t,,m0,soil_moisture_content,SoilMoi40_100cm_t,land_surface~40-to-100cm-below_soil_water__volume_fraction,,,,,,
fldas_SoilTemp00_10cm_t,SoilTemp00_10cm_t,,K,soil_temperature,SoilTemp00_10cm_t,land_surface~0-to-10cm-below_soil__temperature,,,,,,
fldas_SoilTemp100_200cm,SoilTemp100_200cm,,K,soil_temperature,SoilTemp100_200cm,land_surface~100-to-200cm-below_soil__temperature,,,,,,
fldas_SoilTemp10_40cm_t,SoilTemp10_40cm_t,,K,soil_temperature,SoilTemp10_40cm_t,land_surface~10-to-40cm-below_soil__temperature,,,,,,
fldas_SoilTemp40_100cm_,SoilTemp40_100cm_,,K,soil_temperature,SoilTemp40_100cm_,land_surface~40-to-100cm-below_soil__temperature,,,,,,
fldas_Swnet_tavg,Swnet_tavg,,W m-2,surface_net_downward_shortwave_flux,Swnet_tavg,land_surface_radiation~shortwave~downward__energy_flux,,,,,,
fldas_Tair_f_tavg,Tair_f_tavg,,K,air_temperature,Tair_f_tavg,air__temperature,,,,,,
fldas_Wind_f_tavg,Wind_f_tavg,,m s-1,wind_speed,Wind_f_tavg,wind__speed,,,,,,
flooding_surfv,flooding,flooding index,,flooding,,land_surface_water_surface__height_flood_index,,,,,,
fsi_fsi,Flood severity index,"The index is a boolean corresponding to the severity of the flood: 0: None, 1: Medium (2-yr return period), 2: high (5-yr return period), 3: severe (20-yr return period)",,Flood severity index,FSI,channel_water_flow__flood_volume-flux_severity_index,,,,,,
fsi_q,River discharge,"Volume rate of water flow, including sediments, chemical and biological material, in the river channel averaged over a time step through a cross-section.",m^3/s,River discharge,Q,channel_water__24-hour_simple_moving_average_of_volume_flow_rate,,,,,,
hand_dem,dem,Digital elevation model,m,,dem,land_surface__elevation,,,,,,
hand_demang,demang,D-infinity flow direction,degree,,demang,recharge_volume_flux,,,,,,
hand_flooding,flooding contour,flooding contour,,,flooding contour,flooding_contour,,,,,,
hand_flow,flow,Flowlines,,,flow,drawdown,,,,,,
modflow2005_botm,BOTM,bottom elevation of each model layer,m,bottom,BOTM,model_grid_layer_bottom__elevation,,,,,,
modflow2005_com,Com,starting compaction in each system of no-delay interbeds,m,compaction,Com,ground_interbed_system~no-delay__initial_compaction_volume-per-area_density,,,,,,
modflow2005_cond,Cond,hydraulic conductance of the interface between the aquifer cell and the boundary,m/h,conductance,Cond,model_grid_cell_boundary_groundwater__interfacial_hydraulic_conductance,,,,,,
modflow2005_constant_head,CONSTANT HEAD,constant head,m,constant head,CONSTANT HEAD,groundwater__constant_head,,,,,,
modflow2005_d_critical_head,D CRITICAL HEAD,critical head for delay interbeds,m,d critical head,D CRITICAL HEAD,ground_interbed~delay_water__critical_head,,,,,,
modflow2005_dcom,DCOM,starting compaction in each system of delay interbeds,m,delay compaction,DCOM,ground_interbed_system~delay__initial_compaction_volume-per-area_density,,,,,,
modflow2005_delc,DELC,cell width along columns,m,delr,DELC,model_grid_cell_edge~along-column__length,,,,,,
modflow2005_delr,DELR,cell width along rows,m,delr,DELR,model_grid_cell_edge~along-row__length,,,,,,
modflow2005_dhc,DHC,starting preconsolidation head in interbeds for systems of delay interbeds,m,delay hc,DHC,ground_interbed_system~delay_water__initial_preconsolidation_head,,,,,,
modflow2005_drawdown,DRAWDOWN,drawdown,m,drawdown,DRAWDOWN,groundwater_surface__reduction_of_elevation,,,,,,
modflow2005_dstart,Dstart,starting head in interbeds for systems of delay interbeds,m,delay start,Dstart,ground_interbed_system~delay_water__initial_head,,,,,,
modflow2005_dsys_compaction,DSYS COMPACTION,compaction by interbed system,m,dsys compaction,DSYS COMPACTION,ground_interbed~delay__compaction_length,,,,,,
modflow2005_dz,DZ,equivalent thickness for a system of delay interbeds,m,delay dz,DZ,ground_interbed_system~delay__equivalent_thickness,,,,,,
modflow2005_flow_front_face,FLOW FRONT FACE,flow front face,m/h,flow front face,FLOW FRONT FACE,model_grid_cell~from-row-below_groundwater__volume_flux,,,,,,
modflow2005_hc,HC,preconsolidation head or stress,m,hc,HC,ground__preconsolidation_head,,,,,,
modflow2005_head,HEAD,head,m,head,HEAD,groundwater__head,,,,,,
modflow2005_hy,HY,hydraulic conductivity along rows,m/h,horizontal hydraulic conductivity,HY,groundwater__horizontal_hydraulic_conductivity,,,,,,
modflow2005_inst_ib_storage,INST IB STORAGE,instantaneous interbed storage,m^3,inst ib storage,INST IB STORAGE,ground_interbed_water__instantaneous_storage_volume,,,,,,
modflow2005_layer_compaction,LAYER COMPACTION,compaction by model layer,m,layer compaction,LAYER COMPACTION,model_layer_ground__compaction_length,,,,,,
modflow2005_ncol,NCOL,number of columns,,num column,NCOL,model_grid_column__count,,,,,,
